,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,percent_bachelor_or_above
2449,"BOYD , JIM",TN,6.0,IND,2010,19.6
2450,"PURCELL, DAVID",TN,6.0,IND,2010,19.6
2451,"SPRAGUE , STEPHEN R.",TN,6.0,IND,2010,19.6
2452,"GORE, BRANDON ERIC",TN,6.0,IND,2010,19.6
2453,"VICK, CHARLES GORDON",TN,7.0,DEM,2010,33.8
2454,"STONE, J.W. (BILL)",TN,7.0,IND,2010,33.8
2455,"BLACKBURN, MARSHA MRS.",TN,7.0,REP,2010,33.8
2456,"RABIDOUX, GREG ROBERT DR",TN,7.0,DEM,2010,33.8
2457,"RICE, DAVID ALLEN",TN,8.0,REP,2010,15.4
2458,"MERCER, LUTHER T II",TN,8.0,DEM,2010,15.4
2459,"HART, JAMES",TN,8.0,IND,2010,15.4
2460,"FLINN, GEORGE S JR",TN,8.0,REP,2010,15.4
2461,"KIRKLAND, RONALD",TN,8.0,REP,2010,15.4
2462,"JANES, DONN",TN,8.0,REP,2010,15.4
2463,"STEINFELS, CRAIG RICHARD",TN,8.0,REP,2010,15.4
2464,"FINCHER, STEVE",TN,8.0,REP,2010,15.4
2465,"HERRON, ROY BRASFIELD",TN,8.0,DEM,2010,15.4
2466,"SMITH , KIMBERLEE E.",TN,8.0,DEM,2010,15.4
2467,"WATTS , BEN",TN,8.0,REP,2010,15.4
2468,"SMITH, RANDY LEE",TN,8.0,REP,2010,15.4
2469,"RAWLES , MARK JEFFERY",TN,8.0,IND,2010,15.4
2470,"MILLEN, KEVIN",TN,9.0,REP,2010,23.4
2471,"HARRELL, JAMES",TN,9.0,REP,2010,23.4
2472,"BERGMANN, CHARLOTTE",TN,9.0,REP,2010,23.4
2473,"STEELE, PERRY",TN,9.0,IND,2010,23.4
2474,"SULLIVAN , SANDRA",TN,9.0,IND,2010,23.4
2475,"HERENTON, WILLIE W",TN,9.0,DEM,2010,23.4
2476,"COHEN, STEPHEN IRA",TN,9.0,DEM,2010,23.4
2477,"WRIGHT, MARY TAYLOR SHELBY",TN,9.0,DEM,2010,23.4
2478,"CHARLES F III, PARKES",TX,1.0,LIB,2010,19.2
2479,"PERKISON, DONALD",TX,1.0,LIB,2010,19.2
2480,"GOHMERT, LOUIE",TX,1.0,REP,2010,19.2
2481,"SMITH, DAVID WAYNE",TX,2.0,LIB,2010,24.0
2482,"POE, TED",TX,2.0,REP,2010,24.0
2483,"PIERCE, HARRY",TX,3.0,UNK,2010,43.1
2484,"SAM, JOHNSON MR.",TX,3.0,REP,2010,43.1
2485,"CLAYTOR, CHRISTOPHER J.",TX,3.0,LIB,2010,43.1
2486,"LINGENFELDER, JOHN JR",TX,3.0,DEM,2010,43.1
2487,"GIGLIOTTI, LOUIS PAUL",TX,4.0,REP,2010,22.9
2488,"CLARK, STEVE",TX,4.0,REP,2010,22.9
2489,"SHEPARD, MICHAEL SHANE",TX,4.0,IND,2010,22.9
2490,"KOWERT, JOSHUA JOHN",TX,4.0,REP,2010,22.9
2491,"HALL, JERRY RAY",TX,4.0,REP,2010,22.9
2492,"NIX, NICHOLAS PAUL",TX,4.0,IND,2010,22.9
2493,"BLOUNT, BENNEY DELL",TX,4.0,REP,2010,22.9
2494,"PRINDLE, JIM",TX,4.0,LIB,2010,22.9
2495,"COOPER, JOHNNY RAY",TX,4.0,REP,2010,22.9
2496,"HALL, RALPH MOODY",TX,4.0,REP,2010,22.9
2497,"HATHCOX, VALINDA",TX,4.0,DEM,2010,22.9
2498,"BOYD, JUSTIN",TX,5.0,REP,2010,20.0
2499,"ASHBY, KEN",TX,5.0,LIB,2010,20.0
2500,"BERRY, TOM",TX,5.0,DEM,2010,20.0
2501,"HENSARLING, JEB HON.",TX,5.0,REP,2010,20.0
2502,"BARTON, JOE LINUS",TX,6.0,REP,2010,25.2
2503,"SEVERNS, BYRON",TX,6.0,LIB,2010,25.2
2504,"COZAD, DAVID EDWIN",TX,6.0,DEM,2010,25.2
2505,"MCCURRACH, DAVID",TX,7.0,IND,2010,49.6
2506,"PARKS, DREW",TX,7.0,LIB,2010,49.6
2507,"TOWNSEND, BOB",TX,7.0,LIB,2010,49.6
2508,"SQUIERS, LISSA",TX,7.0,NNE,2010,49.6
2509,"CULBERSON, JOHN",TX,7.0,REP,2010,49.6
2510,"RUSSELL, TYLER TIMBERLAKE",TX,8.0,REP,2010,21.7
2511,"BRADY, KEVIN",TX,8.0,REP,2010,21.7
2512,"WEST, BRUCE A",TX,8.0,LIB,2010,21.7
2513,"FRANCO, MELECIO",TX,8.0,REP,2010,21.7
2514,"HARGETT, KENT",TX,8.0,DEM,2010,21.7
2515,"BAKER, SCOTT ALLEN",TX,8.0,REP,2010,21.7
2516,"BANNEN, DAVID JOHN",TX,9.0,REP,2010,21.5
2517,"HOPE, MICHAEL W",TX,9.0,LIB,2010,21.5
2518,"GREEN, ALEXANDER",TX,9.0,DEM,2010,21.5
2519,"MUELLER, STEVE C",TX,9.0,REP,2010,21.5
2520,"PETRONIS, JOSEPH RICHARD III",TX,10.0,REP,2010,35.3
2521,"MARTIN, RICHARD",TX,10.0,REP,2010,35.3
2522,"PERKINS, JEREMIAH 'JP'",TX,10.0,LIB,2010,35.3
2523,"MCCAUL, MICHAEL",TX,10.0,REP,2010,35.3
2524,"ANKRUM, GEORGE THEODORE",TX,10.0,DEM,2010,35.3
2525,"MCDONALD, JACK THOMAS MR.",TX,10.0,DEM,2010,35.3
2526,"QUILLIAN, JAMES",TX,11.0,DEM,2010,18.5
2527,"YOUNTS, CHRIS W",TX,11.0,REP,2010,18.5
2528,"COWAN, ALVIN ETHELBERT",TX,11.0,REP,2010,18.5
2529,"POWELL, JAMES A",TX,11.0,LIB,2010,18.5
2530,"HOWE, JIM",TX,11.0,GRE,2010,18.5
2531,"CONAWAY, MICHAEL HONORABLE",TX,11.0,REP,2010,18.5
2532,"HARRISON, ROBERT",TX,12.0,LIB,2010,24.3
2533,"SOLODOW, MATTHEW",TX,12.0,LIB,2010,24.3
2534,"FINLEY, SAMUEL JAMES",TX,12.0,REP,2010,24.3
2535,"KELLY, MATTHEW EDWARD",TX,12.0,REP,2010,24.3
2536,"BRASOVAN, MICHAEL WAYNE",TX,12.0,REP,2010,24.3
2537,"SMITH, TRACEY",TX,12.0,DEM,2010,24.3
2538,"GRANGER, KAY",TX,12.0,REP,2010,24.3
2539,"BARRETT, MICHAEL SANFORD",TX,13.0,CST,2010,18.8
2540,"BARTLAM, FREDERICK",TX,13.0,LIB,2010,18.8
2541,"BURWELL, JOHN T JR",TX,13.0,LIB,2010,18.8
2542,"DYER, KEITH",TX,13.0,IND,2010,18.8
2543,"THORNBERRY, MAC",TX,13.0,REP,2010,18.8
2544,"COCHRAN, WINSTON EARLE JR",TX,14.0,DEM,2010,24.4
2545,"FLYNN, EUGENE J.",TX,14.0,LIB,2010,24.4
2546,"GAY, JOHN RAYMOND",TX,14.0,REP,2010,24.4
2547,"PRUETT, ROBERT C JR",TX,14.0,DEM,2010,24.4
2548,"CHERRY, JEFF",TX,14.0,REP,2010,24.4
2549,"GRANEY, TIMOTHY M",TX,14.0,REP,2010,24.4
2550,"WALL, GERALD D",TX,14.0,REP,2010,24.4
2551,"PAUL, RONALD E.",TX,14.0,REP,2010,24.4
2552,"GARZA, DANIEL GARZA",TX,15.0,REP,2010,14.7
2553,"ZAMORA, EDDIE",TX,15.0,REP,2010,14.7
2554,"COHN, AARON I",TX,15.0,LIB,2010,14.7
2555,"REDDING, JENELL",TX,15.0,LIB,2010,14.7
2556,"HARING, PAUL BYRNE",TX,15.0,REP,2010,14.7
2557,"PURL, JAMES DOUG",TX,15.0,DEM,2010,14.7
2558,"HINOJOSA, RUBEN E.",TX,15.0,DEM,2010,14.7
2559,"COLLINS, TIM",TX,16.0,NNE,2010,19.9
2560,"REYES, SILVESTRE",TX,16.0,DEM,2010,19.9
2561,"COLLINS, BILL",TX,16.0,LIB,2010,19.9
2562,"BESCO, TIMOTHY ANDREW",TX,16.0,REP,2010,19.9
2563,"WILSON, CHARLES CLARK",TX,17.0,REP,2010,22.4
2564,"KELLY, RICHARD B",TX,17.0,LIB,2010,22.4
2565,"AUTEM, JOSEPH WAYNE JR",TX,17.0,REP,2010,22.4
2566,"FINLEY, RICHARD ERIC",TX,17.0,REP,2010,22.4
2567,"YANCY, DARREN GENE SR",TX,17.0,REP,2010,22.4
2568,"MCINTYRE, DAVID H",TX,17.0,REP,2010,22.4
2569,"DELASANDRO, TIMOTHY ALLEN",TX,17.0,REP,2010,22.4
2570,"CURNOCK, ROBERT JOHN",TX,17.0,REP,2010,22.4
2571,"FLORES, BILL",TX,17.0,REP,2010,22.4
2572,"EDWARDS, CHET",TX,17.0,DEM,2010,22.4
2573,"JOHNSON, JARVIS",TX,18.0,DEM,2010,17.8
2574,"CHRISTOPHER, TEX",TX,18.0,REP,2010,17.8
2575,"ROBERTS, SEAN ALAN",TX,18.0,DEM,2010,17.8
2576,"TAYLOR, MIKE",TX,18.0,LIB,2010,17.8
2577,"LEE, SHEILA JACKSON",TX,18.0,DEM,2010,17.8
2578,"MEYER, CHARLES B",TX,18.0,NNE,2010,17.8
2579,"PAGE, BRENDA Z",TX,18.0,REP,2010,17.8
2580,"FAULK, JOHN M MR. SR.",TX,18.0,REP,2010,17.8
2581,"PETERSON, RICHARD",TX,19.0,LIB,2010,21.2
2582,"WILSON, ANDY",TX,19.0,DEM,2010,21.2
2583,"NEUGEBAUER, RANDY HONORABLE",TX,19.0,REP,2010,21.2
2584,"MARTINEZ, JOSEPH 'JAMIE'",TX,20.0,REP,2010,16.1
2585,"TROTTER, CLAYTON",TX,20.0,REP,2010,16.1
2586,"SMITH, RHETT ROSENQUEST",TX,20.0,IND,2010,16.1
2587,"STRACK, ALAN THOMAS",TX,20.0,REP,2010,16.1
2588,"SHIPP, CHARLES A., JR.",TX,20.0,REP,2010,16.1
2589,"IDROGO, MICHAEL",TX,20.0,LIB,2010,16.1
2590,"GONZALEZ, CHARLES A.",TX,20.0,DEM,2010,16.1
2591,"MELNICK, LAINEY",TX,21.0,DEM,2010,40.1
2592,"SCHOPPE, STEPHEN",TX,21.0,REP,2010,40.1
2593,"SMITH, LAMAR",TX,21.0,REP,2010,40.1
2594,"SHVETZ, BELINDA ",TX,21.0,DEM,2010,40.1
2595,"STROHM, JAMES ARTHUR",TX,21.0,LIB,2010,40.1
2596,"BLATT, DOUGLAS JAMES",TX,22.0,DEM,2010,35.2
2597,"ROGERS, LAKESHA D",TX,22.0,DEM,2010,35.2
2598,"STOUT, DENNIS",TX,22.0,LIB,2010,35.2
2599,"SUSMAN, STEVEN",TX,22.0,LIB,2010,35.2
2600,"OLSON, PETER G",TX,22.0,REP,2010,35.2
2601,"CAMPBELL, THOMAS",TX,22.0,REP,2010,35.2
2602,"WIEDER, FREDDIE JOHN MINISTER JR",TX,22.0,DEM,2010,35.2
2603,"WILLIAMS, JOHNNY",TX,22.0,NNE,2010,35.2
2604,"LARSON, JONATHAN SCOTT",TX,23.0,REP,2010,23.0
2605,"CANSECO, FRANCISCO 'QUICO'",TX,23.0,REP,2010,23.0
2606,"KUEBER, MICHAEL ALYN",TX,23.0,REP,2010,23.0
2607,"BOULEY, JESSIE",TX,23.0,LIB,2010,23.0
2608,"NITSCHKE, MARTIN",TX,23.0,LIB,2010,23.0
2609,"GOULD, JOSEPH MACK",TX,23.0,REP,2010,23.0
2610,"LOWRY, ROBERT CHARLES",TX,23.0,REP,2010,23.0
2611,"STEPHENS, CRAIG T.",TX,23.0,IND,2010,23.0
2612,"SCHARF, ED",TX,23.0,GRE,2010,23.0
2613,"RODRIGUEZ, CIRO D.",TX,23.0,DEM,2010,23.0
2614,"ORTIZ, MIGUEL ANTONIO",TX,23.0,DEM,2010,23.0
2615,"HURD, WILLIAM",TX,23.0,REP,2010,23.0
2616,"ROSZELL, FRANK",TX,24.0,REP,2010,37.3
2617,"SPARKS, DAVID",TX,24.0,LIB,2010,37.3
2618,"MARCHANT, KENNY E MR.",TX,24.0,REP,2010,37.3
2619,"BRUNER, CORY W",TX,25.0,LIB,2010,32.4
2620,"STUTSMAN, JIM",TX,25.0,LIB,2010,32.4
2621,"BRANNON, SAM M",TX,25.0,IND,2010,32.4
2622,"SKINNER, EDWARD",TX,25.0,REP,2010,32.4
2623,"DOGGETT, LLOYD REP.",TX,25.0,DEM,2010,32.4
2624,"MOROVICH, GEORGE L.",TX,25.0,REP,2010,32.4
2625,"TAYLOR, MARSHALL AARON",TX,25.0,REP,2010,32.4
2626,"CAMPBELL, DONNA DR.",TX,25.0,REP,2010,32.4
2627,"TRACEY, DONALD L",TX,26.0,NNE,2010,31.9
2628,"DURRANCE, NEIL L",TX,26.0,DEM,2010,31.9
2629,"HERFORD, JAMES",TX,26.0,REP,2010,31.9
2630,"BOLER, MARK",TX,26.0,LIB,2010,31.9
2631,"BURGESS, MICHAEL C. DR.",TX,26.0,REP,2010,31.9
2632,"VADEN, WILLIAM ROSS",TX,27.0,REP,2010,17.1
2633,"ORTIZ, SOLOMON P",TX,27.0,DEM,2010,17.1
2634,"MISHOU, EDWARD CLARK JR",TX,27.0,LIB,2010,17.1
2635,"DUERR, JAMES MATTHEW",TX,27.0,REP,2010,17.1
2636,"FARENTHOLD, RANDOLPH BLAKE",TX,27.0,REP,2010,17.1
2637,"PUENTE-BRADSHAW, JESSICA",TX,27.0,REP,2010,17.1
2638,"CHAVEZ, DANIEL",TX,28.0,REP,2010,15.8
2639,"KAAT, STEPHEN",TX,28.0,LIB,2010,15.8
2640,"LEONE, ROSS LYNN",TX,28.0,LIB,2010,15.8
2641,"HOLLOWAY, CHARLES DAVID",TX,28.0,REP,2010,15.8
2642,"CUELLAR, HENRY R.",TX,28.0,DEM,2010,15.8
2643,"UNDERWOOD, BRYAN KEITH",TX,28.0,REP,2010,15.8
2644,"MAZZAPICA, FRANK '' MAZZ''",TX,29.0,REP,2010,6.9
2645,"STEVENS, TOM",TX,29.0,REP,2010,6.9
2646,"YOUNG, GEORGE A.",TX,29.0,REP,2010,6.9
2647,"GREEN, RAYMOND E. 'GENE'",TX,29.0,DEM,2010,6.9
2648,"WALTERS, BRAD",TX,29.0,LIB,2010,6.9
2649,"STORY, LESLIE ERIC",TX,29.0,REP,2010,6.9
2650,"MORALES, ROGELIO 'ROY' JR",TX,29.0,REP,2010,6.9
2651,"LINGERFELT, CHARLES B",TX,30.0,REP,2010,18.8
2652,"OSWALT, J B",TX,30.0,LIB,2010,18.8
2653,"BRODEN, STEPHEN EDWARD",TX,30.0,REP,2010,18.8
2654,"JOHNSON, EDDIE BERNICE",TX,30.0,DEM,2010,18.8
2655,"GOLDSTEIN, SHELDON",TX,30.0,REP,2010,18.8
2656,"YAMKA, RAYMOND",TX,31.0,REP,2010,28.0
2657,"OLIVER, BILL",TX,31.0,LIB,2010,28.0
2658,"CARTER, JOHN R.",TX,31.0,REP,2010,28.0
2659,"SMITH, DAVID",TX,32.0,REP,2010,37.8
2660,"LOVE, STEPHEN LEROY",TX,32.0,DEM,2010,37.8
2661,"MYERS, JOHN JAY",TX,32.0,LIB,2010,37.8
2662,"RAGGIO, GRIER",TX,32.0,DEM,2010,37.8
2663,"SESSIONS, PETE",TX,32.0,REP,2010,37.8
2664,"PEARSON, KIRK D",UT,1.0,OTH,2010,28.8
2665,"RIDGWAY, MIKE",UT,1.0,REP,2010,28.8
2666,"STRATTON, JARED PAUL",UT,1.0,LIB,2010,28.8
2667,"BISHOP, ROBERT",UT,1.0,REP,2010,28.8
2668,"BOWEN, MORGAN EMORY",UT,1.0,DEM,2010,28.8
2669,"ANDERSON, CASEY OWEN",UT,2.0,REP,2010,33.9
2670,"HILL, WAYNE L.",UT,2.0,IND,2010,33.9
2671,"GLISSMEYER, GEORGE DAVID",UT,2.0,IND,2010,33.9
2672,"WALTER, RUSSEL NEIL",UT,2.0,REP,2010,33.9
2673,"KELLY, RYAN JOHN",UT,2.0,IND,2010,33.9
2674,"ELIASON, ED",UT,2.0,REP,2010,33.9
2675,"HINTON, RANDALL",UT,2.0,OTH,2010,33.9
2676,"WRIGHT, CLAUDIA",UT,2.0,DEM,2010,33.9
2677,"PHILPOT, MORGAN",UT,2.0,REP,2010,33.9
2678,"MATHESON, JAMES D",UT,2.0,DEM,2010,33.9
2679,"SLIGTING, DOUGLAS",UT,3.0,OTH,2010,25.2
2680,"SHANNON, JAKE",UT,3.0,LIB,2010,25.2
2681,"PUENTE, JOSEPH L.",UT,3.0,IND,2010,25.2
2682,"HYER, KAREN",UT,3.0,DEM,2010,25.2
2683,"CHAFFETZ, JASON",UT,3.0,REP,2010,25.2
2684,"PARKER, G. GAIL",VA,1.0,OTH,2010,31.3
2685,"CRABILL, CATHERINE T.",VA,1.0,REP,2010,31.3
2686,"BALL, KRYSTAL MARIE",VA,1.0,DEM,2010,31.3
2687,"WITTMAN, ROBERT J.",VA,1.0,REP,2010,31.3
2688,"ROBINSON, TERRILL SCOTT",VA,1.0,DEM,2010,31.3
2689,"NYE, GLENN CARLYLE III",VA,2.0,DEM,2010,29.3
2690,"HUTCHISON, DOUGLAS ALEXANDER",VA,2.0,UNK,2010,29.3
2691,"WIRGES, THOMAS",VA,2.0,REP,2010,29.3
2692,"MIZUSAWA, BERT K",VA,2.0,REP,2010,29.3
2693,"SANDLIN, JESSICA DEPRIEST",VA,2.0,REP,2010,29.3
2694,"LOYOLA, BENITO BEN JR",VA,2.0,REP,2010,29.3
2695,"MAULBECK, EDWARD CHRISTOPHER",VA,2.0,REP,2010,29.3
2696,"TAYLOR, SCOTT W",VA,2.0,REP,2010,29.3
2697,"RIGELL, EDWARD SCOTT MR.",VA,2.0,REP,2010,29.3
2698,"GOLDEN, KENNETH EUGENE",VA,2.0,IND,2010,29.3
2699,"KELLY, JOHN D.",VA,3.0,IND,2010,20.7
2700,"SCOTT, ROBERT C.",VA,3.0,DEM,2010,20.7
2701,"QUIGLEY, JAMES JOSEPH",VA,3.0,LIB,2010,20.7
2702,"SMITH, CHUCK",VA,3.0,REP,2010,20.7
2703,"LEGROW, WYNNE VINSON ELWOOD",VA,4.0,DEM,2010,22.9
2704,"FORBES, J. RANDY",VA,4.0,REP,2010,22.9
2705,"GOODE, VIRGIL H. JR.",VA,5.0,REP,2010,21.9
2706,"FERRIN, RON LEE",VA,5.0,REP,2010,21.9
2707,"MCPADDEN, MICHAEL",VA,5.0,REP,2010,21.9
2708,"MORTON, FEDA KIDD",VA,5.0,REP,2010,21.9
2709,"CLARK, JEFFREY AARON",VA,5.0,IND,2010,21.9
2710,"BOYD, KENNETH C",VA,5.0,REP,2010,21.9
2711,"VERGA, LAURENCE PAUL",VA,5.0,REP,2010,21.9
2712,"HURT, ROBERT",VA,5.0,REP,2010,21.9
2713,"MCKELVEY, JAMES K",VA,5.0,REP,2010,21.9
2714,"PERRIELLO, THOMAS STUART PRICE",VA,5.0,DEM,2010,21.9
2715,"VANKE, JEFFREY W",VA,6.0,IND,2010,24.6
2716,"BAIN, STUART MATTHEW",VA,6.0,LIB,2010,24.6
2717,"GOODLATTE, BOB",VA,6.0,REP,2010,24.6
2718,"DIRADOUR, ALBERT STEVEN 'CHARLIE'",VA,7.0,DEM,2010,36.7
2719,"CANTOR, ERIC",VA,7.0,REP,2010,36.7
2720,"BAYNE, FLOYD",VA,7.0,OTH,2010,36.7
2721,"WAUGH , RICKARD ELIAN JR",VA,7.0,DEM,2010,36.7
2722,"FISHER, J. RON",VA,8.0,OTH,2010,60.2
2723,"SOCCI, LAURENCE",VA,8.0,REP,2010,60.2
2724,"YELVERTON, STEPHEN THOMAS",VA,8.0,IND,2010,60.2
2725,"ST JOHN, CARVEL",VA,8.0,JCN,2010,60.2
2726,"MURRAY, J PATRICK",VA,8.0,REP,2010,60.2
2727,"BERRY, MATTHEW B.",VA,8.0,REP,2010,60.2
2728,"MITCHELL, RONALD",VA,8.0,DEM,2010,60.2
2729,"MORAN, JAMES P. JR.",VA,8.0,DEM,2010,60.2
2730,"ELLMORE, MARK W",VA,8.0,REP,2010,60.2
2731,"RING, JESSEE BANE",VA,9.0,REP,2010,17.0
2732,"MOORE, DAVID WAYNE",VA,9.0,REP,2010,17.0
2733,"ROOP, BRANDON E",VA,9.0,REP,2010,17.0
2734,"LIGHT, ADAM N",VA,9.0,REP,2010,17.0
2735,"GRIFFITH, H MORGAN",VA,9.0,REP,2010,17.0
2736,"CARR, WILLIAM R.",VA,9.0,REP,2010,17.0
2737,"BOUCHER, FREDERICK C",VA,9.0,DEM,2010,17.0
2738,"HEATON, JEREMIAH DAVID",VA,9.0,IND,2010,17.0
2739,"LEWIS, DELMAR PATRICK",VA,10.0,DEM,2010,48.5
2740,"REDPATH, WILLIAM",VA,10.0,LIB,2010,48.5
2741,"WOLF, FRANK R.",VA,10.0,REP,2010,48.5
2742,"TRAUTZ, JAMES THOMAS JR",VA,10.0,REP,2010,48.5
2743,"MODICA, JULIEN",VA,10.0,DEM,2010,48.5
2744,"FINDLEY, DENNIS MICHAEL",VA,10.0,DEM,2010,48.5
2745,"ANTHONY, RICHARD",VA,10.0,DEM,2010,48.5
2746,"BARNETT, JEFFERY ROBERT",VA,10.0,DEM,2010,48.5
2747,"GILLIS, DAVID WILLIAM JR",VA,11.0,OTH,2010,52.0
2748,"MILLER , PAUL A",VA,11.0,REP,2010,52.0
2749,"DECARLO, CHRISTOPHER F",VA,11.0,IND,2010,52.0
2750,"HERRITY, PATRICK S",VA,11.0,REP,2010,52.0
2751,"PETERSON, DAVID E",VA,11.0,REP,2010,52.0
2752,"FIMIAN, KEITH S.",VA,11.0,REP,2010,52.0
2753,"DOTSON, DAVID L",VA,11.0,LIB,2010,52.0
2754,"CONNOLLY, GERRY",VA,11.0,DEM,2010,52.0
2755,"MIMOUN, GUILLAUME",VI,0.0,GRE,2010,
2756,"MOORHEAD, JEFFREY B.C.",VI,0.0,NNE,2010,
2757,"CHRISTENSEN, DONNA M",VI,0.0,DEM,2010,
2758,"DANET, VINCENT EMILE",VI,0.0,REP,2010,
2759,"STERN, KEITH",VT,0.0,REP,2010,33.3
2760,"JACCACI, GUS",VT,0.0,IND,2010,33.3
2761,"NEWTON, JANE",VT,0.0,LBU,2010,33.3
2762,"CONIFF, SHEILA M.",VT,0.0,OTH,2010,33.3
2763,"WELCH, PETER",VT,0.0,DEM,2010,33.3
2764,"BEAUDRY, PAUL",VT,0.0,REP,2010,33.3
2765,"MITCHELL, JOHN M",VT,0.0,REP,2010,33.3
2766,"WATKINS, JAMES HL",WA,1.0,REP,2010,41.0
2767,"BURKE, MATTHEW",WA,1.0,REP,2010,41.0
2768,"INSLEE, JAY ROBERT",WA,1.0,DEM,2010,41.0
2769,"SCHIRLE, DAVID DENISE DR",WA,1.0,IND,2010,41.0
2770,"CARMACK, JOHN",WA,2.0,REP,2010,25.6
2771,"KALB, LARRY A",WA,2.0,DEM,2010,25.6
2772,"LARSEN, RICHARD RAY",WA,2.0,DEM,2010,25.6
2773,"MCGINNESS, DIANA B",WA,2.0,DEM,2010,25.6
2774,"KOSTER, JOHN M",WA,2.0,REP,2010,25.6
2775,"STEVENS, NORMA JEAN",WA,3.0,IND,2010,24.4
2776,"BOYD, CHRISTOPHER MYCHAL",WA,3.0,REP,2010,24.4
2777,"RODRIGUEZ-SALAZAR, MARIA D",WA,3.0,DEM,2010,24.4
2778,"RUSSELL, JON DAVID",WA,3.0,REP,2010,24.4
2779,"HEDRICK, DAVID WILLIAM",WA,3.0,REP,2010,24.4
2780,"HECK, DENNIS",WA,3.0,DEM,2010,24.4
2781,"PRIDEMORE, CRAIG",WA,3.0,DEM,2010,24.4
2782,"CASTILLO, DAVID B",WA,3.0,REP,2010,24.4
2783,"WALLACE, DEBBIE D",WA,3.0,DEM,2010,24.4
2784,"HERRERA, JAIME",WA,3.0,REP,2010,24.4
2785,"CRIST, CHERYL A.",WA,3.0,DEM,2010,24.4
2786,"BROCKI, REX A",WA,4.0,OTH,2010,19.9
2787,"FAST, SHANE",WA,4.0,REP,2010,19.9
2788,"YIALELIS, LELAND",WA,4.0,IND,2010,19.9
2789,"EDWARDS, MARY RUTH",WA,4.0,CST,2010,19.9
2790,"HASTINGS, DOC",WA,4.0,REP,2010,19.9
2791,"CLOUGH, JERAME",WA,4.0,DEM,2010,19.9
2792,"FOX, DAVID R",WA,5.0,DEM,2010,26.4
2793,"CORDERO, CLYDE ARTHUR JR",WA,5.0,DEM,2010,26.4
2794,"LAMPERT, BARBARA",WA,5.0,DEM,2010,26.4
2795,"MCMORRIS, CATHY",WA,5.0,REP,2010,26.4
2796,"ROMEYN, DARYL",WA,5.0,DEM,2010,26.4
2797,"YEAROUT, RANDALL",WA,5.0,CON,2010,26.4
2798,"CLOUD, DOUG",WA,6.0,REP,2010,23.1
2799,"DICKS, NORMAN D",WA,6.0,DEM,2010,23.1
2800,"YOUNG, JESSE L",WA,6.0,REP,2010,23.1
2801,"SIZEMORE, SCOTT",WA,7.0,DEM,2010,51.6
2802,"HOFFMAN, WILLIAM III",WA,7.0,DEM,2010,51.6
2803,"RIVERS, DONOVAN LAMONT",WA,7.0,DEM,2010,51.6
2804,"JEFFERS-SCHRODER, BOB",WA,7.0,IND,2010,51.6
2805,"BEREN, STEVE",WA,7.0,REP,2010,51.6
2806,"SUTHERLAND, S",WA,7.0,NNE,2010,51.6
2807,"MCDERMOTT, JAMES ADELBERT",WA,7.0,DEM,2010,51.6
2808,"ORLINSKI, BOLESLAW (JOHN)",WA,8.0,DEM,2010,41.5
2809,"ARNOLD, KEITH",WA,8.0,DEM,2010,41.5
2810,"CRAMER, THOMAS A",WA,8.0,DEM,2010,41.5
2811,"MARDINI, CALEB LOVE",WA,8.0,NNE,2010,41.5
2812,"ADAIR, ROBIN",WA,8.0,OTH,2010,41.5
2813,"DILLON, TOM",WA,8.0,REP,2010,41.5
2814,"HUBER, ERNEST",WA,8.0,REP,2010,41.5
2815,"REICHERT, DAVE",WA,8.0,REP,2010,41.5
2816,"DELBENE, SUZAN K",WA,8.0,DEM,2010,41.5
2817,"CAMPBELL, THOMAS J",WA,9.0,REP,2010,23.3
2818,"OLSON, ROY",WA,9.0,GRE,2010,23.3
2819,"MURI, RICHARD WALTER",WA,9.0,REP,2010,23.3
2820,"SMITH, D ADAM",WA,9.0,DEM,2010,23.3
2821,"POSTMA, JAMES",WA,9.0,REP,2010,23.3
2822,"HECKENLIVELY, JOHN HAROLD",WI,1.0,DEM,2010,25.1
2823,"GARIN, PAULETTE",WI,1.0,DEM,2010,25.1
2824,"RYAN, PAUL D.",WI,1.0,REP,2010,25.1
2825,"KEXEL, JOSEPH",WI,1.0,LIB,2010,25.1
2826,"LEE, CHAD",WI,2.0,REP,2010,36.3
2827,"THERON, DANIEL PETER",WI,2.0,REP,2010,36.3
2828,"BALDWIN, TAMMY",WI,2.0,DEM,2010,36.3
2829,"KRSIEAN, MICHAEL",WI,3.0,IND,2010,23.0
2830,"KIND, RON",WI,3.0,DEM,2010,23.0
2831,"KAPANKE, DAN",WI,3.0,REP,2010,23.0
2832,"EVERS, BRUCE FRANCIS",WI,3.0,REP,2010,23.0
2833,"CARTER, SAMANTHA LEE",WI,4.0,IND,2010,20.8
2834,"MOORE, GWENDOLYNNE",WI,4.0,DEM,2010,20.8
2835,"SEBRING, DANIEL PAUL",WI,4.0,REP,2010,20.8
2836,"LIPINSKI, KENNETH JOSEPH",WI,4.0,REP,2010,20.8
2837,"AYYASH, EDDIE AHMAD",WI,4.0,OTH,2010,20.8
2838,"MOREL, PAUL",WI,4.0,DEM,2010,20.8
2839,"SENSENBRENNER, F. JAMES JR.",WI,5.0,REP,2010,39.1
2840,"KOLOSSO, TODD P",WI,5.0,DEM,2010,39.1
