percent_bachelor_or_above,name,state_fips,district,year,congress_session,raceyear,state,area,repcandidate,demcandidate
31.2,"Congressional District 19 (112th Congress), Florida",12,19,2011,112th Congress,2010,Florida,District 19,"Budd, Joe","Deutch, Ted"
36.7,"Congressional District 20 (112th Congress), Florida",12,20,2011,112th Congress,2010,Florida,District 20,"Harrington, Karen","Wasserman-Schultz, Debbie"
27.1,"Congressional District 21 (112th Congress), Florida",12,21,2011,112th Congress,2010,Florida,District 21,"Diaz-Balart, Mario",
38.6,"Congressional District 22 (112th Congress), Florida",12,22,2011,112th Congress,2010,Florida,District 22,"West, Allen","Klein, Ron"
16.8,"Congressional District 23 (112th Congress), Florida",12,23,2011,112th Congress,2010,Florida,District 23,"Sansaricq, Bernard","Hastings, Alcee L."
29.0,"Congressional District 24 (112th Congress), Florida",12,24,2011,112th Congress,2010,Florida,District 24,"Adams, Sandra","Kosmas, Suzanne M."
24.6,"Congressional District 25 (112th Congress), Florida",12,25,2011,112th Congress,2010,Florida,District 25,"Rivera, David","Garcia, Joe"
19.5,"Congressional District 1 (112th Congress), Georgia",13,01,2011,112th Congress,2010,Georgia,District 1,"Kingston, Jack","Harris, Oscar L. II"
14.1,"Congressional District 2 (112th Congress), Georgia",13,02,2011,112th Congress,2010,Georgia,District 2,"Keown, Mike","Bishop, Sanford"
25.3,"Congressional District 3 (112th Congress), Georgia",13,03,2011,112th Congress,2010,Georgia,District 3,"Westmoreland, Lynn A.","Saunders, Frank"
29.7,"Congressional District 4 (112th Congress), Georgia",13,04,2011,112th Congress,2010,Georgia,District 4,"Carter, Lisbeth","Johnson, Henry C."
45.8,"Congressional District 5 (112th Congress), Georgia",13,05,2011,112th Congress,2010,Georgia,District 5,"Little, Fenn","Lewis, John"
52.9,"Congressional District 6 (112th Congress), Georgia",13,06,2011,112th Congress,2010,Georgia,District 6,"Price, Thomas E.",
33.7,"Congressional District 7 (112th Congress), Georgia",13,07,2011,112th Congress,2010,Georgia,District 7,"Woodall, Rob","Heckman, Doug"
18.0,"Congressional District 8 (112th Congress), Georgia",13,08,2011,112th Congress,2010,Georgia,District 8,"Scott, Austin","Marshall, Jim"
21.4,"Congressional District 9 (112th Congress), Georgia",13,09,2011,112th Congress,2010,Georgia,District 9,"Graves, Tom",
25.3,"Congressional District 10 (112th Congress), Georgia",13,10,2011,112th Congress,2010,Georgia,District 10,"Broun, Paul","Edwards, Russell"
25.4,"Congressional District 11 (112th Congress), Georgia",13,11,2011,112th Congress,2010,Georgia,District 11,"Gingrey, Phil",
17.0,"Congressional District 12 (112th Congress), Georgia",13,12,2011,112th Congress,2010,Georgia,District 12,"McKinney, Ray","Barrow, John"
26.3,"Congressional District 13 (112th Congress), Georgia",13,13,2011,112th Congress,2010,Georgia,District 13,"Crane, Mike","Scott, David"
32.7,"Congressional District 1 (112th Congress), Hawaii",15,01,2011,112th Congress,2010,Hawaii,District 1,"Djou, Charles","Hanabusa, Colleen Wakako"
26.3,"Congressional District 2 (112th Congress), Hawaii",15,02,2011,112th Congress,2010,Hawaii,District 2,"Willoughby, John W.","Hirono, Mazie K."
23.6,"Congressional District 1 (112th Congress), Idaho",16,01,2011,112th Congress,2010,Idaho,District 1,"Labrador, Raul R.","Minnick, Walt"
25.7,"Congressional District 2 (112th Congress), Idaho",16,02,2011,112th Congress,2010,Idaho,District 2,"Simpson, Michael K.","Crawford, Mike"
22.2,"Congressional District 1 (112th Congress), Illinois",17,01,2011,112th Congress,2010,Illinois,District 1,"Wardingley, Raymond G.","Rush, Bobby L."
21.4,"Congressional District 2 (112th Congress), Illinois",17,02,2011,112th Congress,2010,Illinois,District 2,"Hayes, Isaac C.","Jackson, Jesse L. Jr."
24.0,"Congressional District 3 (112th Congress), Illinois",17,03,2011,112th Congress,2010,Illinois,District 3,"Bendas, Michael A.","Lipinski, Daniel William"
22.4,"Congressional District 4 (112th Congress), Illinois",17,04,2011,112th Congress,2010,Illinois,District 4,"Vasquez, Israel","Gutierrez, Luis V."
40.3,"Congressional District 5 (112th Congress), Illinois",17,05,2011,112th Congress,2010,Illinois,District 5,"Ratowitz, David","Quigley, Mike"
38.4,"Congressional District 6 (112th Congress), Illinois",17,06,2011,112th Congress,2010,Illinois,District 6,"Roskam, Peter J.","Lowe, Benjamin S."
41.3,"Congressional District 7 (112th Congress), Illinois",17,07,2011,112th Congress,2010,Illinois,District 7,"Weiman, Mark M.","Davis, Danny K."
36.4,"Congressional District 8 (112th Congress), Illinois",17,08,2011,112th Congress,2010,Illinois,District 8,"Walsh, Joe","Bean, Melissa L."
44.7,"Congressional District 9 (112th Congress), Illinois",17,09,2011,112th Congress,2010,Illinois,District 9,"Pollak, Joel Barry","Schakowsky, Janice D."
51.4,"Congressional District 10 (112th Congress), Illinois",17,10,2011,112th Congress,2010,Illinois,District 10,"Dold, Robert","Seals, Daniel J."
22.4,"Congressional District 11 (112th Congress), Illinois",17,11,2011,112th Congress,2010,Illinois,District 11,"Kinzinger, Adam","Halvorson, Deborah L."
20.8,"Congressional District 12 (112th Congress), Illinois",17,12,2011,112th Congress,2010,Illinois,District 12,"Newman, Teri","Costello, Jerry F."
46.2,"Congressional District 13 (112th Congress), Illinois",17,13,2011,112th Congress,2010,Illinois,District 13,"Biggert, Judy","Harper, Scott"
30.7,"Congressional District 14 (112th Congress), Illinois",17,14,2011,112th Congress,2010,Illinois,District 14,"Hultgren, Randy M.","Foster, Bill"
27.4,"Congressional District 15 (112th Congress), Illinois",17,15,2011,112th Congress,2010,Illinois,District 15,"Johnson, Timothy V.","Gill, David M."
24.3,"Congressional District 16 (112th Congress), Illinois",17,16,2011,112th Congress,2010,Illinois,District 16,"Manzullo, Donald","Gaulrapp, George W."
18.0,"Congressional District 17 (112th Congress), Illinois",17,17,2011,112th Congress,2010,Illinois,District 17,"Schilling, Bobby","Hare, Phil"
24.6,"Congressional District 18 (112th Congress), Illinois",17,18,2011,112th Congress,2010,Illinois,District 18,"Schock, Aaron","Hirner, Deirdre"
20.9,"Congressional District 19 (112th Congress), Illinois",17,19,2011,112th Congress,2010,Illinois,District 19,"Shimkus, John M.","Bagwell, Tim"
20.3,"Congressional District 1 (112th Congress), Indiana",18,01,2011,112th Congress,2010,Indiana,District 1,"Leyva, Mark J.","Visclosky, Peter J."
19.5,"Congressional District 2 (112th Congress), Indiana",18,02,2011,112th Congress,2010,Indiana,District 2,"Walorski, Jackie","Donnelly, Joseph S."
21.8,"Congressional District 3 (112th Congress), Indiana",18,03,2011,112th Congress,2010,Indiana,District 3,"Stutzman, Marlin A.","Hayhurst, Thomas E."
27.1,"Congressional District 4 (112th Congress), Indiana",18,04,2011,112th Congress,2010,Indiana,District 4,"Rokita, Todd","Sanders, David Avram"
35.7,"Congressional District 5 (112th Congress), Indiana",18,05,2011,112th Congress,2010,Indiana,District 5,"Burton, Dan","Crawford, Tim"
17.0,"Congressional District 6 (112th Congress), Indiana",18,06,2011,112th Congress,2010,Indiana,District 6,"Pence, Mike","Welsh, Barry A."
22.5,"Congressional District 7 (112th Congress), Indiana",18,07,2011,112th Congress,2010,Indiana,District 7,"Scott, Marvin B.","Carson, Andre D."
17.9,"Congressional District 8 (112th Congress), Indiana",18,08,2011,112th Congress,2010,Indiana,District 8,"Bucshon, Larry D.","Vanhaaften, W. Trent"
19.9,"Congressional District 9 (112th Congress), Indiana",18,09,2011,112th Congress,2010,Indiana,District 9,"Young, Todd","Hill, Baron P."
23.8,"Congressional District 1 (112th Congress), Iowa",19,01,2011,112th Congress,2010,Iowa,District 1,"Lange, Benjamin M.","Braley, Bruce"
28.0,"Congressional District 2 (112th Congress), Iowa",19,02,2011,112th Congress,2010,Iowa,District 2,"Miller-Meeks, Mariannette","Loebsack, David"
28.7,"Congressional District 3 (112th Congress), Iowa",19,03,2011,112th Congress,2010,Iowa,District 3,"Zaun, Brad","Boswell, Leonard L."
24.8,"Congressional District 4 (112th Congress), Iowa",19,04,2011,112th Congress,2010,Iowa,District 4,"Latham, Tom","Maske, Bill"
18.6,"Congressional District 5 (112th Congress), Iowa",19,05,2011,112th Congress,2010,Iowa,District 5,"King, Steve","Campbell, Matthew"
20.3,"Congressional District 1 (112th Congress), Kansas",20,01,2011,112th Congress,2010,Kansas,District 1,"Huelskamp, Tim","Jilka, Alan"
27.3,"Congressional District 2 (112th Congress), Kansas",20,02,2011,112th Congress,2010,Kansas,District 2,"Jenkins, Lynn","Hudspeth, Cheryl"
43.7,"Congressional District 3 (112th Congress), Kansas",20,03,2011,112th Congress,2010,Kansas,District 3,"Yoder, Kevin","Moore, Stephene"
26.0,"Congressional District 4 (112th Congress), Kansas",20,04,2011,112th Congress,2010,Kansas,District 4,"Pompeo, Mike","Goyle, Raj"
14.1,"Congressional District 1 (112th Congress), Kentucky",21,01,2011,112th Congress,2010,Kentucky,District 1,"Whitfield, Edward","Hatchett, Charles Kendall"
16.7,"Congressional District 2 (112th Congress), Kentucky",21,02,2011,112th Congress,2010,Kentucky,District 2,"Guthrie, Brett","Marksberry, Ed"
29.7,"Congressional District 3 (112th Congress), Kentucky",21,03,2011,112th Congress,2010,Kentucky,District 3,"Lally, Todd","Yarmuth, John"
22.4,"Congressional District 4 (112th Congress), Kentucky",21,04,2011,112th Congress,2010,Kentucky,District 4,"Davis, Geoff","Waltz, John"
11.4,"Congressional District 5 (112th Congress), Kentucky",21,05,2011,112th Congress,2010,Kentucky,District 5,"Rogers, Harold","Holbert, James E."
28.6,"Congressional District 6 (112th Congress), Kentucky",21,06,2011,112th Congress,2010,Kentucky,District 6,"Barr, Garland","Chandler, Ben"
29.1,"Congressional District 1 (112th Congress), Louisiana",22,01,2011,112th Congress,2010,Louisiana,District 1,"Scalise, Steve","Katz, Myron"
22.6,"Congressional District 2 (112th Congress), Louisiana",22,02,2011,112th Congress,2010,Louisiana,District 2,"Cao, Anh Joseph","Richmond, Cedric"
13.2,"Congressional District 3 (112th Congress), Louisiana",22,03,2011,112th Congress,2010,Louisiana,District 3,"Landry, Jeff","Sangisetty, Ravi"
18.8,"Congressional District 4 (112th Congress), Louisiana",22,04,2011,112th Congress,2010,Louisiana,District 4,"Fleming, John","Melville, David"
16.9,"Congressional District 5 (112th Congress), Louisiana",22,05,2011,112th Congress,2010,Louisiana,District 5,"Alexander, Rodney",
27.2,"Congressional District 6 (112th Congress), Louisiana",22,06,2011,112th Congress,2010,Louisiana,District 6,"Cassidy, Bill","McDonald, Merritt E."
18.9,"Congressional District 7 (112th Congress), Louisiana",22,07,2011,112th Congress,2010,Louisiana,District 7,"Boustany, Charles W. Jr.",
32.9,"Congressional District 1 (112th Congress), Maine",23,01,2011,112th Congress,2010,Maine,District 1,"Scontras, Dean Peter","Pingree, Chellie"
21.1,"Congressional District 2 (112th Congress), Maine",23,02,2011,112th Congress,2010,Maine,District 2,"Levesque, Jason J.","Michaud, Michael H."
32.0,"Congressional District 1 (112th Congress), Maryland",24,01,2011,112th Congress,2010,Maryland,District 1,"Harris, Andy","Kratovil, Frank Jr."
24.3,"Congressional District 2 (112th Congress), Maryland",24,02,2011,112th Congress,2010,Maryland,District 2,"Cardarelli, Marcelo","Ruppersberger, C.A. Dutch"
42.8,"Congressional District 3 (112th Congress), Maryland",24,03,2011,112th Congress,2010,Maryland,District 3,"Wilhelm, Jim","Sarbanes, John P."
35.9,"Congressional District 4 (112th Congress), Maryland",24,04,2011,112th Congress,2010,Maryland,District 4,"Broadus, Robert","Edwards, Donna"
32.5,"Congressional District 5 (112th Congress), Maryland",24,05,2011,112th Congress,2010,Maryland,District 5,"Lollar, Charles","Hoyer, Steny H."
29.4,"Congressional District 6 (112th Congress), Maryland",24,06,2011,112th Congress,2010,Maryland,District 6,"Bartlett, Roscoe G.","Duck, Andrew"
34.7,"Congressional District 7 (112th Congress), Maryland",24,07,2011,112th Congress,2010,Maryland,District 7,"Mirabile, Frank C.","Cummings, Elijah E."
55.9,"Congressional District 8 (112th Congress), Maryland",24,08,2011,112th Congress,2010,Maryland,District 8,"Philips, Michael Lee","Van Hollen, Chris Jr."
29.2,"Congressional District 1 (112th Congress), Massachusetts",25,01,2011,112th Congress,2010,Massachusetts,District 1,"Gunn, William L. Jr.","Olver, John W."
28.3,"Congressional District 2 (112th Congress), Massachusetts",25,02,2011,112th Congress,2010,Massachusetts,District 2,"Wesley, Thomas A.","Neal, Richard E."
37.7,"Congressional District 3 (112th Congress), Massachusetts",25,03,2011,112th Congress,2010,Massachusetts,District 3,"Lamb, Martin A.","McGovern, James"
40.7,"Congressional District 4 (112th Congress), Massachusetts",25,04,2011,112th Congress,2010,Massachusetts,District 4,"Bielat, Sean","Frank, Barney"
38.5,"Congressional District 5 (112th Congress), Massachusetts",25,05,2011,112th Congress,2010,Massachusetts,District 5,"Golnik, Jonathan A.","Tsongas, Nicola S."
40.8,"Congressional District 6 (112th Congress), Massachusetts",25,06,2011,112th Congress,2010,Massachusetts,District 6,"Hudak, Bill","Tierney, John F."
45.0,"Congressional District 7 (112th Congress), Massachusetts",25,07,2011,112th Congress,2010,Massachusetts,District 7,"Dembrowski, Gerry","Markey, Edward J."
46.9,"Congressional District 8 (112th Congress), Massachusetts",25,08,2011,112th Congress,2010,Massachusetts,District 8,,"Capuano, Michael E."
40.1,"Congressional District 9 (112th Congress), Massachusetts",25,09,2011,112th Congress,2010,Massachusetts,District 9,"Harrison, Vernon M.","Lynch, Stephen F."
39.8,"Congressional District 10 (112th Congress), Massachusetts",25,10,2011,112th Congress,2010,Massachusetts,District 10,"Perry, Jeffrey Davis","Keating, William R."
18.7,"Congressional District 1 (112th Congress), Michigan",26,01,2011,112th Congress,2010,Michigan,District 1,"Benishek, Dan","McDowell, Gary"
21.6,"Congressional District 2 (112th Congress), Michigan",26,02,2011,112th Congress,2010,Michigan,District 2,"Huizenga, Bill","Johnson, Fred"
28.1,"Congressional District 3 (112th Congress), Michigan",26,03,2011,112th Congress,2010,Michigan,District 3,"Amash, Justin","Miles, Pat"
21.4,"Congressional District 4 (112th Congress), Michigan",26,04,2011,112th Congress,2010,Michigan,District 4,"Camp, Dave","Campbell, Jerry"
17.7,"Congressional District 5 (112th Congress), Michigan",26,05,2011,112th Congress,2010,Michigan,District 5,"Kupiec, John","Kildee, Dale E."
24.3,"Congressional District 6 (112th Congress), Michigan",26,06,2011,112th Congress,2010,Michigan,District 6,"Upton, Fred","Cooney, Don"
22.6,"Congressional District 7 (112th Congress), Michigan",26,07,2011,112th Congress,2010,Michigan,District 7,"Walberg, Timothy","Schauer, Mark H."
32.0,"Congressional District 8 (112th Congress), Michigan",26,08,2011,112th Congress,2010,Michigan,District 8,"Rogers, Mike","Enderle, Lance"
47.7,"Congressional District 9 (112th Congress), Michigan",26,09,2011,112th Congress,2010,Michigan,District 9,"Raczkowski, Rocky","Peters, Gary C."
21.5,"Congressional District 10 (112th Congress), Michigan",26,10,2011,112th Congress,2010,Michigan,District 10,"Miller, Candice S.","Yanez, Henry"
34.1,"Congressional District 11 (112th Congress), Michigan",26,11,2011,112th Congress,2010,Michigan,District 11,"McCotter, Thaddeus","Mosher, Natalie"
22.6,"Congressional District 12 (112th Congress), Michigan",26,12,2011,112th Congress,2010,Michigan,District 12,"Volaric, Don","Levin, Sander M."
16.1,"Congressional District 13 (112th Congress), Michigan",26,13,2011,112th Congress,2010,Michigan,District 13,"Hauler, John","Clarke, Hansen"
16.5,"Congressional District 14 (112th Congress), Michigan",26,14,2011,112th Congress,2010,Michigan,District 14,"Ukrainec, Don","Conyers, John Jr."
29.7,"Congressional District 15 (112th Congress), Michigan",26,15,2011,112th Congress,2010,Michigan,District 15,"Steele, Rob","Dingell, John D. Jr."
25.4,"Congressional District 1 (112th Congress), Minnesota",27,01,2011,112th Congress,2010,Minnesota,District 1,"Demmer, Randy","Walz, Timothy J."
36.2,"Congressional District 2 (112th Congress), Minnesota",27,02,2011,112th Congress,2010,Minnesota,District 2,"Kline, John","Madore, Shelley"
43.8,"Congressional District 3 (112th Congress), Minnesota",27,03,2011,112th Congress,2010,Minnesota,District 3,"Paulsen, Erik","Meffert, Jim"
37.2,"Congressional District 4 (112th Congress), Minnesota",27,04,2011,112th Congress,2010,Minnesota,District 4,"Collett, Teresa","McCollum, Betty"
41.7,"Congressional District 5 (112th Congress), Minnesota",27,05,2011,112th Congress,2010,Minnesota,District 5,"Demos, Joel","Ellison, Keith"
29.5,"Congressional District 6 (112th Congress), Minnesota",27,06,2011,112th Congress,2010,Minnesota,District 6,"Bachmann, Michele","Clark, Tarryl"
20.0,"Congressional District 7 (112th Congress), Minnesota",27,07,2011,112th Congress,2010,Minnesota,District 7,"Byberg, Lee","Peterson, Collin C."
20.9,"Congressional District 8 (112th Congress), Minnesota",27,08,2011,112th Congress,2010,Minnesota,District 8,"Cravaack, Chip","Oberstar, James L."
17.3,"Congressional District 1 (112th Congress), Mississippi",28,01,2011,112th Congress,2010,Mississippi,District 1,"Nunnelee, Alan","Childers, Travis"
18.8,"Congressional District 2 (112th Congress), Mississippi",28,02,2011,112th Congress,2010,Mississippi,District 2,"Marcy, Bill","Thompson, Bennie"
23.3,"Congressional District 3 (112th Congress), Mississippi",28,03,2011,112th Congress,2010,Mississippi,District 3,"Harper, Gregg","Gill, Joel L."
19.2,"Congressional District 4 (112th Congress), Mississippi",28,04,2011,112th Congress,2010,Mississippi,District 4,"Palazzo, Steven","Taylor, Gene"
26.0,"Congressional District 1 (112th Congress), Missouri",29,01,2011,112th Congress,2010,Missouri,District 1,"Hamlin, Robyn","Clay, William Lacy Jr."
42.5,"Congressional District 2 (112th Congress), Missouri",29,02,2011,112th Congress,2010,Missouri,District 2,"Akin, Todd","Lieber, Arthur"
28.5,"Congressional District 3 (112th Congress), Missouri",29,03,2011,112th Congress,2010,Missouri,District 3,"Martin, Ed","Carnahan, Russ"
18.0,"Congressional District 4 (112th Congress), Missouri",29,04,2011,112th Congress,2010,Missouri,District 4,"Hartzler, Vicky","Skelton, Ike"
26.5,"Congressional District 5 (112th Congress), Missouri",29,05,2011,112th Congress,2010,Missouri,District 5,"Turk, Jacob","Cleaver, Emanuel"
25.6,"Congressional District 6 (112th Congress), Missouri",29,06,2011,112th Congress,2010,Missouri,District 6,"Graves, Samuel B. Jr.","Hylton, Clint"
22.3,"Congressional District 7 (112th Congress), Missouri",29,07,2011,112th Congress,2010,Missouri,District 7,"Long, Billy","Eckersley, Scott"
14.6,"Congressional District 8 (112th Congress), Missouri",29,08,2011,112th Congress,2010,Missouri,District 8,"Emerson, Jo Ann","Sowers, Tommy"
24.1,"Congressional District 9 (112th Congress), Missouri",29,09,2011,112th Congress,2010,Missouri,District 9,"Luetkemeyer, Blaine",
28.2,"Congressional District (at Large) (112th Congress), Montana",30,00,2011,112th Congress,2010,Montana,At Large,"Rehberg, Dennis","McDonald, Dennis"
28.3,"Congressional District 1 (112th Congress), Nebraska",31,01,2011,112th Congress,2010,Nebraska,District 1,"Fortenberry, Jeff","Harper, Ivy"
35.2,"Congressional District 2 (112th Congress), Nebraska",31,02,2011,112th Congress,2010,Nebraska,District 2,"Terry, Lee","White, Tom"
19.6,"Congressional District 3 (112th Congress), Nebraska",31,03,2011,112th Congress,2010,Nebraska,District 3,"Smith, Adrian","Davis, Rebekah"
17.2,"Congressional District 1 (112th Congress), Nevada",32,01,2011,112th Congress,2010,Nevada,District 1,"Wegner, Kenneth","Berkley, Shelley"
22.5,"Congressional District 2 (112th Congress), Nevada",32,02,2011,112th Congress,2010,Nevada,District 2,"Heller, Dean","Price, Nancy"
25.5,"Congressional District 3 (112th Congress), Nevada",32,03,2011,112th Congress,2010,Nevada,District 3,"Heck, Joe","Titus, Dina"
33.1,"Congressional District 1 (112th Congress), New Hampshire",33,01,2011,112th Congress,2010,New Hampshire,District 1,"Guinta, Frank C.","Shea-Porter, Carol"
33.1,"Congressional District 2 (112th Congress), New Hampshire",33,02,2011,112th Congress,2010,New Hampshire,District 2,"Bass, Charles","Kuster, Ann McLane"
25.3,"Congressional District 1 (112th Congress), New Jersey",34,01,2011,112th Congress,2010,New Jersey,District 1,"Glading, Dale M.","Andrews, Robert E."
22.2,"Congressional District 2 (112th Congress), New Jersey",34,02,2011,112th Congress,2010,New Jersey,District 2,"LoBiondo, Frank A.","Stein, Gary"
32.3,"Congressional District 3 (112th Congress), New Jersey",34,03,2011,112th Congress,2010,New Jersey,District 3,"Runyan, Jon","Adler, John"
29.9,"Congressional District 4 (112th Congress), New Jersey",34,04,2011,112th Congress,2010,New Jersey,District 4,"Smith, Christopher H.","Kleinhendler, Howard"
43.8,"Congressional District 5 (112th Congress), New Jersey",34,05,2011,112th Congress,2010,New Jersey,District 5,"Garrett, Scott","Theise, Tod"
34.7,"Congressional District 6 (112th Congress), New Jersey",34,06,2011,112th Congress,2010,New Jersey,District 6,"Little, Anna C.","Pallone, Frank Jr."
46.3,"Congressional District 7 (112th Congress), New Jersey",34,07,2011,112th Congress,2010,New Jersey,District 7,"Lance, Leonard","Potosnak, Ed"
32.8,"Congressional District 8 (112th Congress), New Jersey",34,08,2011,112th Congress,2010,New Jersey,District 8,"Straten, Roland","Pascrell, William J. Jr."
36.8,"Congressional District 9 (112th Congress), New Jersey",34,09,2011,112th Congress,2010,New Jersey,District 9,"Agosta, Michael A.","Rothman, Steven R."
21.9,"Congressional District 10 (112th Congress), New Jersey",34,10,2011,112th Congress,2010,New Jersey,District 10,"Alonso, Michael J.","Payne, Donald M. Jr."
50.1,"Congressional District 11 (112th Congress), New Jersey",34,11,2011,112th Congress,2010,New Jersey,District 11,"Frelinghuysen, Rodney","Herbert, Douglas"
47.9,"Congressional District 12 (112th Congress), New Jersey",34,12,2011,112th Congress,2010,New Jersey,District 12,"Sipprelle, Scott","Holt, Rush D."
28.9,"Congressional District 13 (112th Congress), New Jersey",34,13,2011,112th Congress,2010,New Jersey,District 13,"Dwyer, Henrietta","Sires, Albio"
30.6,"Congressional District 1 (112th Congress), New Mexico",35,01,2011,112th Congress,2010,New Mexico,District 1,"Barela, Jonathan L.","Heinrich, Martin"
19.2,"Congressional District 2 (112th Congress), New Mexico",35,02,2011,112th Congress,2010,New Mexico,District 2,"Pearce, Steve","Teague, Harry"
26.0,"Congressional District 3 (112th Congress), New Mexico",35,03,2011,112th Congress,2010,New Mexico,District 3,"Mullins, Thomas E.","Lujan, Ben Ray"
33.0,"Congressional District 1 (112th Congress), New York",36,01,2011,112th Congress,2010,New York,District 1,"Altschuler, Randy","Bishop, Timothy H."
34.5,"Congressional District 2 (112th Congress), New York",36,02,2011,112th Congress,2010,New York,District 2,"Gomez, John B.","Israel, Steve J."
37.6,"Congressional District 3 (112th Congress), New York",36,03,2011,112th Congress,2010,New York,District 3,"King, Peter T.","Kudler, Howard"
36.1,"Congressional District 4 (112th Congress), New York",36,04,2011,112th Congress,2010,New York,District 4,"Becker, Francis X. Jr.","McCarthy, Carolyn"
37.9,"Congressional District 5 (112th Congress), New York",36,05,2011,112th Congress,2010,New York,District 5,"Milano, James","Ackerman, Gary L."
22.7,"Congressional District 6 (112th Congress), New York",36,06,2011,112th Congress,2010,New York,District 6,"Taub, Asher E.","Meeks, Gregory W."
24.0,"Congressional District 7 (112th Congress), New York",36,07,2011,112th Congress,2010,New York,District 7,"Reynolds, Kenneth A.","Crowley, Joseph"
54.6,"Congressional District 8 (112th Congress), New York",36,08,2011,112th Congress,2010,New York,District 8,"Kone, Susan L.","Nadler, Jerrold"
37.4,"Congressional District 9 (112th Congress), New York",36,09,2011,112th Congress,2010,New York,District 9,"Turner, Robert L.","Weiner, Anthony"
24.8,"Congressional District 10 (112th Congress), New York",36,10,2011,112th Congress,2010,New York,District 10,"Muniz, Diana","Towns, Edolphus"
33.2,"Congressional District 11 (112th Congress), New York",36,11,2011,112th Congress,2010,New York,District 11,"Carr, Hugh C.","Clarke, Yvette D."
27.7,"Congressional District 12 (112th Congress), New York",36,12,2011,112th Congress,2010,New York,District 12,,"Velázquez, Nydia M."
28.8,"Congressional District 13 (112th Congress), New York",36,13,2011,112th Congress,2010,New York,District 13,"Grimm, Michael G.","McMahon, Michael E."
65.5,"Congressional District 14 (112th Congress), New York",36,14,2011,112th Congress,2010,New York,District 14,"Brumberg, David Ryan","Maloney, Carolyn B."
35.9,"Congressional District 15 (112th Congress), New York",36,15,2011,112th Congress,2010,New York,District 15,"Faulkner, Michel J.","Rangel, Charles B."
10.7,"Congressional District 16 (112th Congress), New York",36,16,2011,112th Congress,2010,New York,District 16,"Della Valle, Frank","Serrano, Jose E."
31.6,"Congressional District 17 (112th Congress), New York",36,17,2011,112th Congress,2010,New York,District 17,"Mele, Anthony","Engel, Eliot L."
48.0,"Congressional District 18 (112th Congress), New York",36,18,2011,112th Congress,2010,New York,District 18,"Russell, Jim","Lowey, Nita M."
36.9,"Congressional District 19 (112th Congress), New York",36,19,2011,112th Congress,2010,New York,District 19,"Hayworth, Nan","Hall, John"
29.0,"Congressional District 20 (112th Congress), New York",36,20,2011,112th Congress,2010,New York,District 20,"Gibson, Christopher P.","Murphy, Scott"
30.6,"Congressional District 21 (112th Congress), New York",36,21,2011,112th Congress,2010,New York,District 21,"Danz, Theodore J. Jr.","Tonko, Paul D."
27.7,"Congressional District 22 (112th Congress), New York",36,22,2011,112th Congress,2010,New York,District 22,"Phillips, George K.","Hinchey, Maurice D."
19.2,"Congressional District 23 (112th Congress), New York",36,23,2011,112th Congress,2010,New York,District 23,"Doheny, Matthew A.","Owens, William L."
22.8,"Congressional District 24 (112th Congress), New York",36,24,2011,112th Congress,2010,New York,District 24,"Hanna, Richard L.","Arcuri, Michael A."
31.8,"Congressional District 25 (112th Congress), New York",36,25,2011,112th Congress,2010,New York,District 25,"Buerkle, Ann Marie","Maffei, Daniel B."
29.7,"Congressional District 26 (112th Congress), New York",36,26,2011,112th Congress,2010,New York,District 26,"Lee, Christopher John","Fedele, Philip A."
24.5,"Congressional District 27 (112th Congress), New York",36,27,2011,112th Congress,2010,New York,District 27,"Roberto, Leonard A.","Higgins, Brian M."
25.1,"Congressional District 28 (112th Congress), New York",36,28,2011,112th Congress,2010,New York,District 28,"Rowland, Jill A.","Slaughter, Louise M."
29.7,"Congressional District 29 (112th Congress), New York",36,29,2011,112th Congress,2010,New York,District 29,"Reed, Thomas W. II","Zeller, Matthew C."
13.3,"Congressional District 1 (112th Congress), North Carolina",37,01,2011,112th Congress,2010,North Carolina,District 1,"Woolard, Ashley","Butterfield, George K."
19.0,"Congressional District 2 (112th Congress), North Carolina",37,02,2011,112th Congress,2010,North Carolina,District 2,"Ellmers, Renee","Etheridge, Bob"
22.8,"Congressional District 3 (112th Congress), North Carolina",37,03,2011,112th Congress,2010,North Carolina,District 3,"Jones, Walter B. Jr.","Rouse, Johnny G."
52.6,"Congressional District 4 (112th Congress), North Carolina",37,04,2011,112th Congress,2010,North Carolina,District 4,"Lawson, William B.J.","Price, David E."
23.5,"Congressional District 5 (112th Congress), North Carolina",37,05,2011,112th Congress,2010,North Carolina,District 5,"Foxx, Virginia Ann","Kennedy, Billy"
26.0,"Congressional District 6 (112th Congress), North Carolina",37,06,2011,112th Congress,2010,North Carolina,District 6,"Coble, Howard","Turner, Sam"
21.8,"Congressional District 7 (112th Congress), North Carolina",37,07,2011,112th Congress,2010,North Carolina,District 7,"Pantano, Ilario Gregory","McIntyre, Mike"
20.1,"Congressional District 8 (112th Congress), North Carolina",37,08,2011,112th Congress,2010,North Carolina,District 8,"Johnson, Harold","Kissell, Larry"
40.0,"Congressional District 9 (112th Congress), North Carolina",37,09,2011,112th Congress,2010,North Carolina,District 9,"Myrick, Sue","Doctor, Jeff"
18.0,"Congressional District 10 (112th Congress), North Carolina",37,10,2011,112th Congress,2010,North Carolina,District 10,"McHenry, Patrick T.","Gregory, Jeff"
