,congressional_district,minority_percentage,year,candidates
387,"Congressional District 21 (110th Congress), Texas",0.16477,2008,"Lamar Smith (Republican), James Arthur Strohm (Libertarian)"
388,"Congressional District 22 (110th Congress), Texas",0.32616,2008,"Pete Olson (Republican), Nick Lampson (Democratic), John Wieder (Libertarian)"
389,"Congressional District 23 (110th Congress), Texas",0.18477,2008,"Ciro Rodriguez (Democratic), Lyle Larson (Republican), Lani Connolly (Libertarian)"
390,"Congressional District 24 (110th Congress), Texas",0.30848,2008,"Kenny Marchant (Republican), Tom Love (Democratic), David Casey (Libertarian)"
391,"Congressional District 25 (110th Congress), Texas",0.30796,2008,"Lloyd Doggett (Democratic), George Morovich (Republican), Jim Stutsman (Libertarian)"
392,"Congressional District 26 (110th Congress), Texas",0.28803,2008,"Michael Burgess (Republican), Ken Leach (Democratic), Stephanie Weiss (Libertarian)"
393,"Congressional District 27 (110th Congress), Texas",0.10868,2008,"Solomon Ortiz (Democratic), Willie Vaden (Republican), Robert Powell (Libertarian)"
394,"Congressional District 28 (110th Congress), Texas",0.14061,2008,"Henry Cuellar (Democratic), Jim Fish (Republican), Ross Lynn Leone (Libertarian)"
395,"Congressional District 29 (110th Congress), Texas",0.40282,2008,"Gene Green (Democratic), Eric Story (Republican), Joel Grace (Libertarian)"
396,"Congressional District 30 (110th Congress), Texas",0.54979,2008,"Eddie Bernice Johnson (Democratic), Fred Wood (Republican), Jarrett Woods (Libertarian)"
397,"Congressional District 31 (110th Congress), Texas",0.23192,2008,"John Carter (Republican), Brian Ruiz (Democratic), Barry Cooper (Libertarian)"
398,"Congressional District 32 (110th Congress), Texas",0.2854,2008,"Pete Sessions (Republican), Eric Roberson (Democratic), Alex Bischoff (Libertarian)"
399,"Congressional District 1 (110th Congress), Utah",0.08214,2008,"Rob Bishop (Republican), Morgan Bowen (Democratic), Kirk Pearson (Constitution), Joseph Geddes Buchman (Libertarian)"
400,"Congressional District 2 (110th Congress), Utah",0.08873,2008,"Jim Matheson (Democratic), Bill Dew (Republican), Matthew Arndt (Libertarian), Dennis Ray Emery (Constitution)"
401,"Congressional District 3 (110th Congress), Utah",0.09891,2008,"Jason Chaffetz (Republican), Bennion L. Spencer (Democratic), Jim Noorlander (Constitution)"
402,"Congressional District (at Large) (110th Congress), Vermont",0.04104,2008,"Peter Welch (Democratic, Mike Bethel (Independent), Jerry Trudell (Independent), Thomas James Herman (Vermont, Cris Ericson (Independent), Jane Newton (Liberty"
403,"Congressional District 1 (110th Congress), Virginia",0.26878,2008,"Rob Wittman (Republican), Bill Day (Democratic), Nathan Larson (Libertarian)"
404,"Congressional District 2 (110th Congress), Virginia",0.31102,2008,"Glenn Nye (Democratic), Thelma Drake (Republican)"
405,"Congressional District 3 (110th Congress), Virginia",0.61826,2008,Bobby Scott (Democratic)
406,"Congressional District 4 (110th Congress), Virginia",0.37679,2008,"Randy Forbes (Republican), Andrea Miller (Democratic)"
407,"Congressional District 5 (110th Congress), Virginia",0.26839,2008,"Tom Perriello (Democratic), Virgil Goode (Republican)"
408,"Congressional District 6 (110th Congress), Virginia",0.14746,2008,"Bob Goodlatte (Republican), Sam Rasoul (Democratic), Janice Lee Allen (Independent)"
409,"Congressional District 7 (110th Congress), Virginia",0.22674,2008,"Eric Cantor (Republican), Anita Hartke (Democratic)"
410,"Congressional District 8 (110th Congress), Virginia",0.33019,2008,"Jim Moran (Democratic), Mark Ellmore (Republican), J. Ron Fisher (Independent"
411,"Congressional District 9 (110th Congress), Virginia",0.06418,2008,Rick Boucher (Democratic)
412,"Congressional District 10 (110th Congress), Virginia",0.25068,2008,"Frank Wolf (Republican), Judy Feder (Democratic), Neeraj Nigam (Independent)"
413,"Congressional District 11 (110th Congress), Virginia",0.34868,2008,"Gerry Connolly (Democratic), Keith Fimian (Republican), Joseph Oddo (Independent"
414,"Congressional District 1 (110th Congress), Washington",0.21231,2008,"Jay Inslee (Democratic),  Larry Ishmael (Republican)"
415,"Congressional District 2 (110th Congress), Washington",0.12016,2008,"Rick Larsen (Democratic), Rick Bart (Republican)"
416,"Congressional District 3 (110th Congress), Washington",0.11146,2008,"Brian Baird (Democratic),  Michael Delavar (Republican)"
417,"Congressional District 4 (110th Congress), Washington",0.22983,2008,"Doc Hastings (Republican), George Fearing (Democratic)"
418,"Congressional District 5 (110th Congress), Washington",0.11317,2008,"Cathy McMorris Rodgers (Republican), Mark Mays (Democratic)"
419,"Congressional District 6 (110th Congress), Washington",0.20754,2008,"Norm Dicks (Democratic),  Doug Cloud (Republican)"
420,"Congressional District 7 (110th Congress), Washington",0.28246,2008,"Jim McDermott (Democratic), Steve Beren (Republican)"
421,"Congressional District 8 (110th Congress), Washington",0.22389,2008,"Dave Reichert (Republican), Darcy Burner (Democratic)"
422,"Congressional District 9 (110th Congress), Washington",0.27396,2008,"Adam Smith (Democratic),  James Postma (Republican)"
423,"Congressional District 1 (110th Congress), West Virginia",0.04177,2008,Alan Mollohan (Democratic)
424,"Congressional District 2 (110th Congress), West Virginia",0.06946,2008,"Shelley Capito (Republican), Anne Barth (Democratic)"
425,"Congressional District 3 (110th Congress), West Virginia",0.05718,2008,"Nick Rahall (Democratic), Marty Gearheart (Republican)"
426,"Congressional District 1 (110th Congress), Wisconsin",0.1105,2008,"Paul Ryan (Republican), Marge Krupp (Democratic), Joseph Kexel (Libertarian)"
427,"Congressional District 2 (110th Congress), Wisconsin",0.10105,2008,"Tammy Baldwin (Democratic), Peter Theron (Republican)"
428,"Congressional District 3 (110th Congress), Wisconsin",0.04313,2008,"Ron Kind (Democratic), Paul Stark (Republican), Kevin Barrett (Libertarian)"
429,"Congressional District 4 (110th Congress), Wisconsin",0.44541,2008,"Gwen Moore (Democratic), Michael LaForest (Independent)"
430,"Congressional District 5 (110th Congress), Wisconsin",0.07122,2008,"Jim Sensenbrenner (Republican), Robert R. Raymond (Independent)"
431,"Congressional District 6 (110th Congress), Wisconsin",0.05565,2008,"Tom Petri (Republican), Roger Kittelson (Democratic)"
432,"Congressional District 7 (110th Congress), Wisconsin",0.05012,2008,"Dave Obey (Democratic), Dan Mielke (Republican)"
433,"Congressional District 8 (110th Congress), Wisconsin",0.0718,2008,"Steve Kagen (Democratic), John Gard (Republican)"
434,"Congressional District (at Large) (110th Congress), Wyoming",0.08129,2008,"Cynthia Lummis (Republican), Gary Trauner (Democratic), W. David Herbert (Libertarian)"
435,"Congressional District 1 (111th Congress), Alabama",0.32626,2010,"Jo Bonner (R), David Walter (C)"
436,"Congressional District 2 (111th Congress), Alabama",0.35261,2010,"Martha Roby (R), Bobby Bright (D)"
437,"Congressional District 3 (111th Congress), Alabama",0.35445,2010,"Mike Rogers (R), Steve Segrest (D)"
438,"Congressional District 4 (111th Congress), Alabama",0.08851,2010,Robert Aderholt (R)
439,"Congressional District 5 (111th Congress), Alabama",0.23288,2010,"Mo Brooks (R), Steve Raby (D)"
440,"Congressional District 6 (111th Congress), Alabama",0.1706,2010,Spencer Bachus (R)
441,"Congressional District 7 (111th Congress), Alabama",0.65806,2010,"Terri Sewell (D), Don Chamberlain (R)"
442,"Congressional District (at Large) (111th Congress), Alaska",0.32569,2010,"Don Young (R), Harry Crawford (D)"
443,"Congressional District 1 (111th Congress), Arizona",0.29621,2010,"Paul Gosar (R), Ann Kirkpatrick (D), Nicole Patti (L)"
444,"Congressional District 2 (111th Congress), Arizona",0.13961,2010,"Trent Franks (R), John Thrasher (D), Powell Gammill (L)"
445,"Congressional District 3 (111th Congress), Arizona",0.1439,2010,"Ben Quayle (R), Jon Hulburd (D), Michael Shoen (L), Leonard Clark (G)"
446,"Congressional District 4 (111th Congress), Arizona",0.31865,2010,"Ed Pastor (D), Janet Contreras (R), Joe Cobb (L), Rebecca DeWitt (G)"
447,"Congressional District 5 (111th Congress), Arizona",0.16605,2010,"David Schweikert (R), Harry Mitchell (D), Nick Coons (L)"
448,"Congressional District 6 (111th Congress), Arizona",0.18269,2010,"Jeff Flake (R), Rebecca Schneider (D), Richard Grayson (G), Darell Tapp (L)"
449,"Congressional District 7 (111th Congress), Arizona",0.26589,2010,"Raul Grijalva (D), Ruth McClung (R), Harley Meyer (I), George Keane (L)"
450,"Congressional District 8 (111th Congress), Arizona",0.14227,2010,"Gabrielle Giffords (D), Jesse Kelly (R), Steven Stoltz (L)"
451,"Congressional District 1 (111th Congress), Arkansas",0.19296,2010,"Rick Crawford (R), Chad Causey (D), Ken Adler (G)"
452,"Congressional District 2 (111th Congress), Arkansas",0.25533,2010,"Tim Griffin (R), Joyce Elliott (D), Lance Levi (I), Lewis Kennedy (G)"
453,"Congressional District 3 (111th Congress), Arkansas",0.13725,2010,"Steve Womack (R), David Whitaker (D)"
454,"Congressional District 4 (111th Congress), Arkansas",0.29564,2010,"Mike Ross (D), Beth Anne Rankin (R), Joshua Drake (G)"
455,"Congressional District 1 (111th Congress), California",0.22115,2010,"Mike Thompson (D), Loren Hanks (R), Carol Wolman (G), Mike Rodrigues (L)"
456,"Congressional District 2 (111th Congress), California",0.18667,2010,"Wally Herger (R), Jim Reed (D), Mark A. Jensen (W/I)"
457,"Congressional District 3 (111th Congress), California",0.30802,2010,"Dan Lungren (R), Ami Bera (D), Jerry Leidecker (AI), Douglas Arthur Tuma (L), Mike Roskey (PF)"
458,"Congressional District 4 (111th Congress), California",0.14928,2010,"Tom McClintock (R), Clint Curtis (D), Ben Emery (G)"
459,"Congressional District 5 (111th Congress), California",0.46878,2010,"Doris Matsui (D), Paul Smith (R), Gerald Allen Frink (PF)"
460,"Congressional District 6 (111th Congress), California",0.17882,2010,"Lynn Woolsey (D), Jim Judd (R), Eugene Ruyle (PF), Joel Smolen (L)"
461,"Congressional District 7 (111th Congress), California",0.44074,2010,"George Miller (D), Rick Tubbs (R)"
462,"Congressional District 8 (111th Congress), California",0.48147,2010,"Nancy Pelosi (D), John Dennis (R), Gloria La Riva (PF), Philip Berg (L), Summer Shields (W/I)"
463,"Congressional District 9 (111th Congress), California",0.52491,2010,"Barbara Lee (D), Gerald Hashimoto (R), Dave Heller (G), James Eyer (L), Larry Allen (PF)"
464,"Congressional District 10 (111th Congress), California",0.3534,2010,"John Garamendi (D), Gary Clift (R), Jeremy Cloward (G)"
465,"Congressional District 11 (111th Congress), California",0.32001,2010,"Jerry McNerney (D), David Harmer (R), David Christensen (AI), Robert Beadles (W/I)"
466,"Congressional District 12 (111th Congress), California",0.47337,2010,"Jackie Speier (D), Mike Moloney (R), Mark Paul Williams (L), Joseph Michael Harding (W/I)"
467,"Congressional District 13 (111th Congress), California",0.63546,2010,"Pete Stark (D), Forest Baker (R), Chris Pareja (W/I)"
468,"Congressional District 14 (111th Congress), California",0.34503,2010,"Anna Eshoo (D), Dave Chapman (R), Paul Lazaga (L)"
469,"Congressional District 15 (111th Congress), California",0.52886,2010,"Mike Honda (D), Scott Kirkland (R)"
470,"Congressional District 16 (111th Congress), California",0.52509,2010,"Zoe Lofgren (D), Daniel Sahagún (R), Edward Gonzalez (L)"
471,"Congressional District 17 (111th Congress), California",0.22151,2010,"Sam Farr (D), Jeff Taylor (R), Mary Larkin (L), Eric Petersen (G), Ronald P. Kabat (W/I)"
472,"Congressional District 18 (111th Congress), California",0.32626,2010,"Dennis Cardoza (D), Michael Clarke Berryhill (R)"
473,"Congressional District 19 (111th Congress), California",0.20874,2010,"Jeff Denham (R), Loraine Goodwin (D), Les Marsden (D-W/I)"
474,"Congressional District 20 (111th Congress), California",0.3971,2010,"Jim Costa (D), Andy Vidak (R)"
475,"Congressional District 21 (111th Congress), California",0.29441,2010,Devin Nunes (R)
476,"Congressional District 22 (111th Congress), California",0.25769,2010,"Kevin McCarthy (R), John Uebersax (W/I)"
477,"Congressional District 23 (111th Congress), California",0.22335,2010,"Lois Capps (D), Tom Watson (R), John Hager (I), Darrell Stafford (L)"
478,"Congressional District 24 (111th Congress), California",0.24252,2010,"Elton Gallegly (R), Timothy Allison (D)"
479,"Congressional District 25 (111th Congress), California",0.36697,2010,"Howard McKeon (R), Jackie Conaway (D)"
480,"Congressional District 26 (111th Congress), California",0.39337,2010,"David Dreier (R), Russ Warner (D), David Miller (AI), Randall Weissbuch (L)"
481,"Congressional District 27 (111th Congress), California",0.37793,2010,"Brad Sherman (D), Mark Reed (R)"
482,"Congressional District 28 (111th Congress), California",0.39713,2010,"Howard Berman (D), Merlin Froyd (R), Carlos Rodriguez (L)"
483,"Congressional District 29 (111th Congress), California",0.4284,2010,"Adam Schiff (D),  John Colbert (R), William Cushing (L)"
484,"Congressional District 30 (111th Congress), California",0.21402,2010,"Henry Waxman (D), Chuck Wilkerson (R), Erich Miller (L), Richard Castaldo (PF)"
485,"Congressional District 31 (111th Congress), California",0.61718,2010,"Xavier Becerra (D), Stephen Smith (R), Sal Genovese (W/I)"
486,"Congressional District 32 (111th Congress), California",0.59262,2010,"Judy Chu (D), Ed Schmerling (R)"
487,"Congressional District 33 (111th Congress), California",0.65563,2010,"Karen Bass (D), James Andion (R), Mervin Leon Evans,  "
488,"Congressional District 34 (111th Congress), California",0.48716,2010,"Lucille Roybal-Allard (D), Wayne Miller (R)"
489,"Congressional District 35 (111th Congress), California",0.61822,2010,"Maxine Waters (D), Bruce Brown (R), Suleiman Charles Edmonson (W/I)"
490,"Congressional District 36 (111th Congress), California",0.35769,2010,"Jane Harman (D), Mattie Fein (R), Herb Peters (L)"
491,"Congressional District 37 (111th Congress), California",0.53483,2010,"Laura Richardson (D), Star Parker (R), Nicholas Dibs (I)"
492,"Congressional District 38 (111th Congress), California",0.46279,2010,"Grace Napolitano (D), Robert Vaughn (R)"
493,"Congressional District 39 (111th Congress), California",0.56701,2010,"Linda Sánchez (D), Larry Andre (R), John Smith (AI)"
494,"Congressional District 40 (111th Congress), California",0.42897,2010,"Ed Royce (R), Christina Avalos (D)"
495,"Congressional District 41 (111th Congress), California",0.27526,2010,"Jerry Lewis (R), Pat Meagher (D), Pamela Zander (W/I)"
496,"Congressional District 42 (111th Congress), California",0.37563,2010,"Gary Miller (R), Michael Williamson (D), Mark Lambert (L)"
497,"Congressional District 43 (111th Congress), California",0.41693,2010,"Joe Baca (D), Scott Folkens (R)"
498,"Congressional District 44 (111th Congress), California",0.31345,2010,"Ken Calvert (R), Bill Hedrick (D)"
499,"Congressional District 45 (111th Congress), California",0.30747,2010,"Mary Bono Mack (R), Steve Pougnet (D), Bill Lussenheide (AI)"
500,"Congressional District 46 (111th Congress), California",0.3426,2010,"Dana Rohrabacher (R), Ken Arnold (D), Jay Shah (D-W/I)"
501,"Congressional District 47 (111th Congress), California",0.58307,2010,"Loretta Sanchez (D), Van Tran (R), Ceci Iglesias (I)"
502,"Congressional District 48 (111th Congress), California",0.29732,2010,"John Campbell (R), Beth Krom (D), Mike Binkley (L)"
503,"Congressional District 49 (111th Congress), California",0.30632,2010,"Darrell Issa (R), Howard Katz (D), Dion Clark (AI), Mike Paster (L)"
504,"Congressional District 50 (111th Congress), California",0.23574,2010,"Brian Bilbray (R), Francine Busby (D), Lars Grossmith (L), Miriam Clark (PF)"
505,"Congressional District 51 (111th Congress), California",0.40967,2010,"Bob Filner (D), Nick Popaditch (R), Marcus Shapiro (W/I)"
506,"Congressional District 52 (111th Congress), California",0.22879,2010,"Duncan D. Hunter (R), Ray Lutz (D), Michael Benoit (L)"
507,"Congressional District 53 (111th Congress), California",0.30935,2010,"Susan Davis (D), Michael Crimmins (R), Paul Dekker (L)"
508,"Congressional District 1 (111th Congress), Colorado",0.29144,2010,"Diana DeGette (D), Mike Fallon (R), Gary Swing (G), Clint Jones (L), Chris Styskal (C)"
509,"Congressional District 2 (111th Congress), Colorado",0.13686,2010,"Jared Polis (D), Stephen Bailey (R), Jenna Goss (C), Curtis Harris (L)"
510,"Congressional District 3 (111th Congress), Colorado",0.12919,2010,"Scott Tipton (R), John Salazar (D), Gregory Gilman (L), Jake Segrest (I)"
511,"Congressional District 4 (111th Congress), Colorado",0.1037,2010,"Cory Gardner (R), Betsy Markey (D), Doug Aden (C), Ken Waskiewicz (I)"
512,"Congressional District 5 (111th Congress), Colorado",0.1772,2010,"Doug Lamborn (R), Kevin Bradley (D), Brian Scott (C), Jerrell Klaver (L)"
513,"Congressional District 6 (111th Congress), Colorado",0.11075,2010,"Mike Coffman (R), John Flerlage (D), Rob McNealy (L)"
514,"Congressional District 7 (111th Congress), Colorado",0.23678,2010,"Ed Perlmutter (D), Ryan Frazier (R), Buck Bailey (L)"
515,"Congressional District 1 (111th Congress), Connecticut",0.28221,2010,"John Larson (D), Ann Brickley (R), Kenneth Krayeske (G), Christopher Hutchinson (SA)"
516,"Congressional District 2 (111th Congress), Connecticut",0.12174,2010,"Joe Courtney (D), Janet Peckinpaugh (R), Scott Deshefy (G)"
517,"Congressional District 3 (111th Congress), Connecticut",0.22635,2010,"Rosa DeLauro (D), Larry Labriola (R), Charles Pillsbury (G)"
518,"Congressional District 4 (111th Congress), Connecticut",0.24968,2010,"Jim Himes (D), Dan Debicella (R)"
519,"Congressional District 5 (111th Congress), Connecticut",0.21129,2010,"Chris Murphy (D), Sam Caligiuri (R)"
520,"Congressional District (at Large) (111th Congress), Delaware",0.29309,2010,"John Carney (D), Glen Urquhart (R), Earl Lofland (I), Brent Wangen (L), Jeffrey Brown (BE)"
521,"Congressional District 1 (111th Congress), Florida",0.22017,2010,"Jeff Miller (R), Joe Cantrell (I), John Krause (I), Jim Bryan (W-I)"
522,"Congressional District 2 (111th Congress), Florida",0.27966,2010,"Steve Southerland (R), Allen Boyd (D), Paul McKain (I), Dianne Berryhill (I)"
523,"Congressional District 3 (111th Congress), Florida",0.59137,2010,"Corrine Brown (D), Mike Yost (R), Terry Martin-Black (I)"
524,"Congressional District 4 (111th Congress), Florida",0.24168,2010,"Ander Crenshaw (R), Troy Stanley (I)"
525,"Congressional District 5 (111th Congress), Florida",0.12061,2010,"Rich Nugent (R), Jim Piccillo (D)"
526,"Congressional District 6 (111th Congress), Florida",0.23019,2010,"Cliff Stearns (R), Steve Schonberg (I)"
527,"Congressional District 7 (111th Congress), Florida",0.18269,2010,"John Mica (R), Heather Beaven (D)"
528,"Congressional District 8 (111th Congress), Florida",0.2229,2010,"Dan Webster (R), Alan Grayson (D), Peg Dunmire (Tea), George Metcalfe (I)"
529,"Congressional District 9 (111th Congress), Florida",0.13821,2010,"Gus Bilirakis (R), Anita de Palma (D)"
530,"Congressional District 10 (111th Congress), Florida",0.12019,2010,"Bill Young (R), Charlie Justice (D)"
531,"Congressional District 11 (111th Congress), Florida",0.37858,2010,"Kathy Castor (D), Mike Prendergast (R)"
532,"Congressional District 12 (111th Congress), Florida",0.24596,2010,"Dennis Ross (R), Lori Edwards (D), Randy Wilkinson (Tea)"
533,"Congressional District 13 (111th Congress), Florida",0.11361,2010,"Vern Buchanan (R), James Golden (D)"
534,"Congressional District 14 (111th Congress), Florida",0.14067,2010,"Connie Mack (R), James Lloyd Roach (D), William Maverick St. Claire (I)"
535,"Congressional District 15 (111th Congress), Florida",0.1739,2010,"Bill Posey (R), Shannon Roberts (D)"
536,"Congressional District 16 (111th Congress), Florida",0.16297,2010,"Tom Rooney (R), Jim Horn (D)"
537,"Congressional District 17 (111th Congress), Florida",0.67085,2010,"Frederica Wilson (D), Roderick Vereen (I)"
538,"Congressional District 18 (111th Congress), Florida",0.15277,2010,"Ileana Ros-Lehtinen (R), Rolando Banciella (D)"
539,"Congressional District 19 (111th Congress), Florida",0.21474,2010,"Ted Deutch (D), Joe Budd (R)"
540,"Congressional District 20 (111th Congress), Florida",0.24026,2010,"Debbie Wasserman Schultz (D), Karen Harrington (R), Stanley Blumenthal (I), Robert Kunst (I)"
541,"Congressional District 21 (111th Congress), Florida",0.16607,2010,Mario Díaz-Balart (R)
542,"Congressional District 22 (111th Congress), Florida",0.11745,2010,"Allen West (R), Ron Klein (D)"
543,"Congressional District 23 (111th Congress), Florida",0.62259,2010,"Alcee Hastings (D), Bernard Sansaricq (R)"
544,"Congressional District 24 (111th Congress), Florida",0.16936,2010,"Sandy Adams (R),  Suzanne Kosmas (D)"
545,"Congressional District 25 (111th Congress), Florida",0.1748,2010,"David Rivera (R), Joe Garcia (D), Roly Arroyo (Tea), Craig Porter (FL"
546,"Congressional District 1 (111th Congress), Georgia",0.32669,2010,"Jack Kingston (R), Oscar Harris (D)"
547,"Congressional District 2 (111th Congress), Georgia",0.53757,2010,"Sanford Bishop (D), Mike Keown (R)"
548,"Congressional District 3 (111th Congress), Georgia",0.29766,2010,"Lynn Westmoreland (R), Frank Saunders (D)"
549,"Congressional District 4 (111th Congress), Georgia",0.71868,2010,"Hank Johnson (D), Liz Carter (R)"
550,"Congressional District 5 (111th Congress), Georgia",0.58098,2010,"John Lewis (D), Fenn Little (R)"
551,"Congressional District 6 (111th Congress), Georgia",0.23825,2010,Tom Price (R)
552,"Congressional District 7 (111th Congress), Georgia",0.38188,2010,"Rob Woodall (R), Doug Heckman (D)"
553,"Congressional District 8 (111th Congress), Georgia",0.39623,2010,"Austin Scott (R), Jim Marshall (D)"
554,"Congressional District 9 (111th Congress), Georgia",0.1093,2010,Tom Graves (R)
555,"Congressional District 10 (111th Congress), Georgia",0.24644,2010,"Paul Broun (R), Russell Edwards (D)"
556,"Congressional District 11 (111th Congress), Georgia",0.23132,2010,Phil Gingrey (R)
557,"Congressional District 12 (111th Congress), Georgia",0.48382,2010,"John Barrow (D), Raymond McKinney (R)"
558,"Congressional District 13 (111th Congress), Georgia",0.68619,2010,"David Scott (D), Mike Crane (R)"
559,"Congressional District 1 (111th Congress), Hawaii",0.81203,2010,"Colleen Hanabusa (D), Charles Djou (R)"
560,"Congressional District 2 (111th Congress), Hawaii",0.70041,2010,"Mazie Hirono (D), John Willoughby (R), Patric Brock (L), Andrew Von Sonn (I)"
561,"Congressional District 1 (111th Congress), Idaho",0.07053,2010,"Rah�l Labrador (R), Walt Minnick (D), Dave Olson (I), Mike Washburn (L)"
562,"Congressional District 2 (111th Congress), Idaho",0.08613,2010,"Mike Simpson (R), Mike Crawford (D), Brian Schad (I)"
563,"Congressional District 1 (111th Congress), Illinois",0.68737,2010,"Bobby Rush (D), Ray Wardingley (R), Jeff Adams (G)"
564,"Congressional District 2 (111th Congress), Illinois",0.74031,2010,"Jesse Jackson Jr. (D), Isaac C. Hayes (R), Anthony Williams (G)"
565,"Congressional District 3 (111th Congress), Illinois",0.29608,2010,"Dan Lipinski (D), Michael Bendas (R), Laurel Lambert Schmidt (G)"
566,"Congressional District 4 (111th Congress), Illinois",0.40629,2010,"Luis Gutiérrez (D), Israel Vázquez (R), Robert J. Burns (G)"
567,"Congressional District 5 (111th Congress), Illinois",0.26696,2010,"Michael Quigley (D), David Ratowitz (R), Matthew Reichel (G)"
568,"Congressional District 6 (111th Congress), Illinois",0.22588,2010,"Peter Roskam (R), Benjamin Lowe (D)"
569,"Congressional District 7 (111th Congress), Illinois",0.65602,2010,"Danny Davis (D), Mark Weiman (R), Clarence Desmond Clemons (I)"
570,"Congressional District 8 (111th Congress), Illinois",0.20731,2010,"Joe Walsh (R), Melissa Bean (D), Bill Scheurer (G)"
571,"Congressional District 9 (111th Congress), Illinois",0.3093,2010,"Jan Schakowsky (D), Joel Pollak (R), Simon Ribeiro (G)"
572,"Congressional District 10 (111th Congress), Illinois",0.22783,2010,"Robert Dold (R), Daniel Seals (D)"
573,"Congressional District 11 (111th Congress), Illinois",0.15426,2010,"Adam Kinzinger (R), Debbie Halvorson (D)"
574,"Congressional District 12 (111th Congress), Illinois",0.21395,2010,"Jerry Costello (D), Teri Newman (R), Rodger Jennings (G)"
575,"Congressional District 13 (111th Congress), Illinois",0.21506,2010,"Judy Biggert (R), Scott Harper (D)"
576,"Congressional District 14 (111th Congress), Illinois",0.20933,2010,"Randy Hultgren (R), Bill Foster (D), Daniel Kairis (G)"
577,"Congressional District 15 (111th Congress), Illinois",0.13924,2010,"Tim Johnson (R), David Gill (D)"
578,"Congressional District 16 (111th Congress), Illinois",0.13033,2010,"Donald Manzullo (R), George Gaulrapp (D), Terry Campbell (G)"
579,"Congressional District 17 (111th Congress), Illinois",0.14344,2010,"Bobby Schilling (R), Phil Hare (D), Roger Davis (G)"
580,"Congressional District 18 (111th Congress), Illinois",0.1164,2010,"Aaron Schock (R),  D.K. Hirner (D), Sheldon Schafer (G)"
581,"Congressional District 19 (111th Congress), Illinois",0.06056,2010,"John Shimkus (R), Tim Bagwell (D)"
582,"Congressional District 1 (111th Congress), Indiana",0.28498,2010,"Pete Visclosky (D), Mark Leyva (R), Jon Morris (L)"
583,"Congressional District 2 (111th Congress), Indiana",0.14711,2010,"Joe Donnelly (D), Jackie Walorski (R), Mark Vogel (L)"
584,"Congressional District 3 (111th Congress), Indiana",0.1208,2010,"Marlin Stutzman (R),  Tom Hayhurst (D), Scott Wise (L)"
585,"Congressional District 4 (111th Congress), Indiana",0.08687,2010,"Todd Rokita (R), David Sanders (D), John Duncan (L)"
586,"Congressional District 5 (111th Congress), Indiana",0.09837,2010,"Dan Burton (R), Tim Crawford (D), Richard Reid (L), Jesse Trueblood (I)"
587,"Congressional District 6 (111th Congress), Indiana",0.06938,2010,"Mike Pence (R), Barry Welsh (D), T. J. Thompson Jr. (L)"
588,"Congressional District 7 (111th Congress), Indiana",0.41896,2010,"André Carson (D), Marvin Scott (R), Dav Wilson (L)"
589,"Congressional District 8 (111th Congress), Indiana",0.07495,2010,"Larry Bucshon (R), Trent VanHaaften (D), John Cunningham (L)"
590,"Congressional District 9 (111th Congress), Indiana",0.06449,2010,"Todd Young (R), Baron Hill (D), Greg Knott (L)"
591,"Congressional District 1 (111th Congress), Iowa",0.09358,2010,"Bruce Braley (D), Benjamin Lange (R), Rob Petsche (L), Jason Faulkner (I)"
592,"Congressional District 2 (111th Congress), Iowa",0.08662,2010,"David Loebsack (D), Mariannette Miller-Meeks (R), Gary Sicard (L), Jon Tack (C)"
593,"Congressional District 3 (111th Congress), Iowa",0.11142,2010,"Leonard Boswell (D), Brad Zaun (R), Rebecca Williamson (SW)"
594,"Congressional District 4 (111th Congress), Iowa",0.05497,2010,"Tom Latham (R), Bill Maske (D), Dan Lensing (I)"
595,"Congressional District 5 (111th Congress), Iowa",0.07494,2010,"Steve King (R), Matt Campbell (D), Martin James Monroe (I)"
596,"Congressional District 1 (111th Congress), Kansas",0.09922,2010,"Tim Huelskamp (R), Alan Jilka (D), Jack Warner (L)"
597,"Congressional District 2 (111th Congress), Kansas",0.1239,2010,"Lynn Jenkins (R), Cheryl Hudspeth (D), Robert Garrard (L)"
598,"Congressional District 3 (111th Congress), Kansas",0.17726,2010,"Kevin Yoder (R), Stephene Moore (D), Jasmin Talbert (L)"
599,"Congressional District 4 (111th Congress), Kansas",0.1834,2010,"Mike Pompeo (R), Raj Goyle (D), Susan Ducey (Ref), Shawn Smith (L)"
600,"Congressional District 1 (111th Congress), Kentucky",0.10058,2010,"Ed Whitfield (R), Charles Kendall Hatchett (D)"
601,"Congressional District 2 (111th Congress), Kentucky",0.09973,2010,"Brett Guthrie (R), Ed Marksberry (D)"
602,"Congressional District 3 (111th Congress), Kentucky",0.26341,2010,"John Yarmuth (D), Todd Lally (R), Edward Martin (L), Michael Hansen (I)"
603,"Congressional District 4 (111th Congress), Kentucky",0.05947,2010,"Geoff Davis (R),  John Waltz (D)"
604,"Congressional District 5 (111th Congress), Kentucky",0.02962,2010,"Hal Rogers (R), Jim Holbert (D)"
605,"Congressional District 6 (111th Congress), Kentucky",0.14378,2010,"Ben Chandler (D), Andy Barr (R)"
606,"Congressional District 1 (111th Congress), Louisiana",0.21852,2010,"Steve Scalise (R), Myron Katz (D), Arden Wells (I)"
